rpm,engine_temp,fuel_pressure,battery_voltage,vibration,ambient_temp_c,elevation_ft,payload_ratio,road_grade_pct,idle_hours_day,engine_temp_delta_30d,fuel_pressure_delta_30d,battery_voltage_delta_30d,vibration_delta_30d,failure,failure_probability_true
1421.91,104.28,61.66,13.843,0.487,21.89,0.0,0.431,0.0,1.486,-1.958,0.624,-0.2192,-0.052,0,0.000824
1754.34,118.93,62.04,13.527,0.351,42.4,983.3,0.578,0.0,1.641,1.675,-4.173,-0.271,-0.0485,0,0.01984
1938.49,120.43,62.56,13.644,0.872,42.34,279.4,0.834,1.287,1.898,-1.752,-0.394,-0.2509,0.0656,0,0.035571
1794.1,116.56,62.47,13.617,0.676,24.9,0.0,0.793,1.1,2.223,-1.709,-0.597,-0.2638,0.0974,0,0.006693
1932.64,111.35,65.65,13.622,0.575,21.28,1570.7,0.608,2.646,1.144,0.365,0.299,-0.346,0.1783,0,0.006693
1785.31,118.67,66.24,13.813,0.89,22.62,1304.9,0.713,2.064,2.429,-2.353,-2.704,-0.3254,0.2064,0,0.006693
1991.5,107.92,66.2,13.359,0.908,11.11,1050.1,0.871,1.223,0.25,-3.76,2.072,-0.057,0.1827,0,0.000824
1748.48,101.18,63.3,13.853,0.545,-0.49,576.6,0.695,0.38,0.16,-1.926,-0.996,0.054,0.1108,0,0.000824
1689.17,98.31,63.28,13.392,0.785,-5.34,2084.2,0.706,1.45,2.471,-1.856,0.068,-0.3246,0.104,0,0.000824
2028.37,111.68,63.01,13.54,1.007,-6.78,4541.0,0.804,3.25,1.27,3.36,-2.545,-0.1954,0.1469,0,0.006693
1979.92,115.47,61.44,14.009,0.396,29.07,69.9,0.649,2.416,1.855,1.932,1.776,-0.1963,0.1406,0,0.006693
1783.55,119.1,60.82,13.474,0.909,43.35,63.4,0.865,1.429,2.167,1.008,0.197,-0.3216,0.0805,0,0.006693
1611.84,112.13,63.47,13.617,0.595,17.21,314.4,0.515,1.468,0.735,-0.728,2.319,-0.1197,0.0266,0,0.006693
1964.4,120.18,60.34,13.842,0.993,22.44,5393.3,0.453,4.402,1.285,-2.454,-1.153,-0.1105,0.356,0,0.035571
2200.21,127.77,60.3,13.63,1.757,10.25,2552.5,0.994,6.08,2.391,-0.37,-0.909,-0.1071,0.5481,1,0.401312
2120.06,124.2,62.1,13.65,0.895,31.16,2297.9,0.705,3.764,2.255,0.67,-1.558,-0.1189,0.0815,0,0.035571
2005.05,117.35,55.88,13.968,1.076,17.03,6046.4,0.846,2.769,2.741,-1.677,0.381,-0.2286,0.3669,0,0.012128
2028.04,113.04,52.34,13.011,0.945,-15.99,6092.0,0.759,3.32,1.701,-0.929,-3.328,-0.0137,0.1315,0,0.006693
1640.5,113.05,62.14,13.624,0.783,6.7,4322.4,0.572,3.502,2.138,-5.126,-1.274,-0.3433,0.1615,0,0.006693
1673.73,100.22,64.19,13.027,0.598,-15.59,1351.7,0.752,0.302,1.791,1.962,-2.804,-0.0446,0.1719,0,0.000824
1470.13,113.56,61.92,13.351,0.609,47.35,153.6,0.25,1.95,1.73,1.306,-1.559,-0.307,0.0605,0,0.014774
1734.54,97.51,61.0,12.123,0.731,-30.09,2573.7,0.745,1.699,1.726,4.227,-2.649,-0.3869,0.1274,0,0.004496
1501.38,117.62,64.84,13.059,0.311,47.78,2216.1,0.43,0.07,2.928,2.336,-0.836,-0.5244,0.3082,0,0.062973
1992.58,97.35,64.52,12.347,0.899,-22.38,2353.7,0.824,0.782,2.074,4.184,-1.184,-0.2825,0.1666,0,0.001833
1954.81,115.91,59.62,13.421,1.173,6.68,1070.4,0.974,0.863,2.006,0.002,0.509,-0.1663,0.1355,0,0.039166
1594.13,121.27,61.88,13.182,0.622,52.59,1553.8,0.51,1.305,1.941,-2.507,0.615,-0.172,0.026,1,0.075858
1735.05,117.02,64.88,13.63,0.871,30.06,344.2,0.728,2.028,1.844,2.07,0.85,-0.2267,-0.1001,0,0.006693
1795.42,107.13,57.69,13.505,1.092,-2.76,1539.2,0.925,0.416,2.088,3.865,-1.133,-0.2216,0.1486,0,0.000824
1609.79,102.73,60.82,13.566,0.618,3.24,62.5,0.759,0.114,2.698,-1.298,3.324,-0.2716,0.0557,0,0.000824
1988.12,123.1,60.19,13.238,0.863,35.59,2145.3,0.758,2.154,2.25,0.936,1.217,-0.2726,0.289,0,0.035571
1691.54,116.66,61.0,13.85,0.787,16.81,6159.4,0.38,2.697,0.885,-1.675,-1.549,-0.0284,0.2001,0,0.006693
1630.45,100.82,61.65,13.7,0.7,3.2,891.1,0.772,0.345,1.873,0.7,-2.735,-0.3278,0.0182,0,0.000824
1532.69,107.46,61.8,13.669,0.387,22.71,198.3,0.61,0.487,1.407,-0.427,-0.98,-0.2969,-0.035,0,0.000824
1738.4,108.13,59.06,13.919,0.492,14.82,3480.7,0.589,0.931,1.17,-3.048,-0.524,-0.0815,-0.0803,0,0.000824
1627.34,117.1,61.1,13.602,0.705,22.94,1866.0,0.388,1.997,1.731,1.179,0.093,-0.0417,0.1971,0,0.006693
1557.74,109.67,55.37,13.305,0.585,31.58,2435.7,0.589,0.691,2.484,0.904,-2.89,-0.1945,-0.1393,0,0.000824
1612.78,117.18,62.84,13.403,0.607,41.42,889.8,0.464,1.562,2.457,-0.976,-0.029,-0.0438,-0.0087,0,0.006693
1776.02,113.48,59.34,13.97,0.507,49.91,1172.5,0.593,1.308,1.254,3.667,-0.895,-0.1114,0.1804,0,0.014774
1899.9,106.57,58.3,13.693,0.684,12.79,829.8,0.665,0.735,1.805,3.594,1.223,-0.0501,0.0699,0,0.000824
1901.05,111.19,61.85,13.534,0.81,6.54,8823.5,0.566,2.849,2.054,-0.884,-0.408,-0.1831,0.087,0,0.013387
1622.43,119.34,62.82,13.541,0.359,56.14,213.8,0.678,0.0,2.583,-0.451,-1.744,-0.3407,0.1533,0,0.014774
1952.67,117.11,55.59,13.864,0.998,26.23,6128.1,0.771,3.451,0.163,0.091,-2.086,0.1073,0.2844,0,0.006693
1671.39,117.91,57.2,13.92,0.758,25.26,2077.5,0.771,0.596,2.176,-2.954,2.432,-0.1161,0.0534,0,0.006693
1751.2,118.71,62.23,13.661,0.509,26.05,781.0,0.52,1.015,1.877,0.763,-0.177,0.0699,0.1147,0,0.006693
1893.05,109.08,66.11,13.439,0.925,10.78,1079.7,0.874,0.361,3.45,-0.403,0.564,-0.4444,0.1353,0,0.003684
1982.77,108.71,68.15,13.219,1.221,-7.85,1676.0,0.968,1.708,2.277,-0.424,-0.959,-0.3689,0.1942,0,0.012128
1540.77,91.23,64.89,12.824,0.531,-12.92,1389.0,0.55,0.76,3.432,3.012,0.205,-0.4004,-0.1627,0,0.003684
2085.38,118.35,60.75,13.612,1.132,15.89,6139.1,0.792,4.074,1.327,0.041,0.452,-0.1323,0.3389,0,0.039166
1683.15,100.86,62.8,13.363,0.601,-10.3,432.6,0.75,0.061,2.43,1.286,0.032,-0.0469,0.1726,0,0.000824
1806.99,116.23,59.34,13.552,0.5,26.11,1722.7,0.719,1.416,1.449,2.736,-1.186,0.0254,0.2456,0,0.006693
1860.63,122.06,59.12,13.592,0.518,38.68,1416.9,0.719,1.802,2.75,-1.395,-2.481,-0.3903,0.0638,0,0.141851
1573.57,108.55,59.86,13.727,0.642,25.35,2670.9,0.358,1.017,1.251,-0.014,1.106,-0.2,0.1166,0,0.000824
2059.08,115.17,60.37,14.124,0.844,19.07,2243.5,0.834,1.83,1.528,1.453,-0.822,-0.1521,0.0571,0,0.006693
1709.05,108.92,61.48,13.525,0.515,20.04,2381.9,0.655,0.582,0.778,2.219,1.367,0.0086,0.0715,0,0.000824
1742.31,104.46,64.24,13.701,0.909,-4.75,923.3,0.83,1.32,2.057,1.357,-1.733,-0.0241,0.1173,0,0.000824
1847.39,114.39,63.22,13.635,0.531,18.48,2008.0,0.683,0.858,2.769,1.114,2.436,-0.2326,0.0565,0,0.012128
1770.09,107.13,60.04,13.672,0.629,8.84,1171.8,0.762,0.871,2.059,1.09,-1.421,-0.1539,0.124,0,0.000824
1589.82,113.9,66.43,13.517,0.546,33.0,1321.0,0.706,0.0,2.251,2.822,-1.575,-0.3048,-0.0232,0,0.006693
1919.72,105.4,55.24,12.529,1.123,-14.51,2838.6,0.854,2.523,3.204,2.789,-0.641,-0.3364,0.2429,0,0.009013
1530.59,98.84,61.18,12.666,0.574,-15.32,2778.8,0.337,1.309,1.57,-1.267,-2.756,-0.2604,0.019,0,0.000824
1471.55,112.22,59.84,12.959,0.628,46.72,101.2,0.344,1.235,1.915,2.517,-0.6,-0.3527,0.0524,0,0.035571
1894.0,108.99,62.47,13.71,0.831,20.74,1680.8,0.756,1.791,2.315,1.359,-0.026,-0.2161,0.1365,0,0.000824
1864.57,101.85,61.5,12.476,0.955,-15.39,2532.8,0.877,0.0,3.314,-1.819,-0.414,-0.1095,-0.0359,0,0.001501
1678.45,110.83,60.4,13.768,0.841,38.19,0.0,0.862,0.0,1.783,1.047,-0.847,-0.3015,0.059,0,0.006693
1988.84,100.08,54.42,12.526,1.181,-22.79,1910.2,0.951,1.141,2.196,1.597,0.748,-0.3973,0.1313,0,0.026597
2067.8,115.37,63.73,13.448,0.942,-2.68,3043.9,0.65,3.93,2.165,0.824,-0.887,-0.2624,0.2282,0,0.006693
1814.9,118.2,60.44,13.64,0.651,33.39,1058.4,0.649,2.246,3.474,-0.701,0.604,-0.2616,0.1638,0,0.012128
1568.31,112.89,64.82,14.122,0.52,15.68,53.5,0.513,1.03,0.467,1.9,-0.442,0.0623,0.1296,0,0.006693
1799.9,104.21,62.38,13.73,0.431,1.27,1505.2,0.56,1.161,1.297,-2.132,-1.201,-0.1054,0.2342,0,0.000824
1817.71,109.46,63.91,13.886,0.562,7.25,996.3,0.707,1.086,1.803,3.593,-0.054,-0.1032,0.102,0,0.000824
1695.27,95.27,62.59,13.137,0.75,-6.64,2716.9,0.756,0.663,2.66,1.763,0.159,-0.2289,-0.0613,0,0.000824
2150.33,112.72,61.88,14.002,0.94,26.07,7345.4,0.764,3.896,0.126,1.688,0.011,0.0336,0.2429,0,0.013387
2316.46,129.59,64.08,13.718,1.435,24.01,3427.4,0.939,4.822,1.764,1.489,0.479,-0.1218,0.2378,0,0.182426
2198.12,121.35,55.67,14.088,1.303,1.17,7731.4,0.959,3.817,1.286,3.138,1.075,-0.3085,0.3975,1,0.310026
1829.2,121.8,63.08,13.679,0.71,42.03,2536.2,0.693,2.548,1.765,4.017,0.466,-0.2974,0.1184,0,0.035571
1562.88,93.43,65.06,13.664,0.529,1.64,1922.4,0.443,0.291,3.358,-1.139,0.183,-0.2313,0.0245,0,0.001501
1599.48,117.57,62.35,13.679,0.359,36.47,1249.3,0.531,0.573,0.538,-1.333,0.599,-0.1038,0.0078,0,0.006693
2199.72,119.53,59.77,13.518,1.486,18.13,6300.1,0.917,4.148,2.321,1.92,-2.379,-0.4257,0.2467,0,0.167982
1980.87,109.03,63.2,14.079,0.553,0.57,1144.6,0.66,2.026,0.702,-0.538,-0.115,-0.1355,0.0826,0,0.000824
1615.08,112.27,67.33,13.48,0.24,21.47,1104.0,0.466,1.731,1.28,-0.856,0.163,-0.1277,0.0873,0,0.006693
1827.53,117.4,63.67,13.779,0.822,42.17,908.2,0.889,0.341,0.938,-1.328,-2.407,-0.1405,0.0809,0,0.006693
2209.53,122.98,59.59,12.946,1.098,-12.01,9960.8,0.848,3.803,0.936,-2.163,-1.481,-0.2183,0.2597,0,0.069138
1884.44,116.54,63.46,13.556,0.796,40.02,1471.8,0.869,0.0,1.65,-0.242,0.863,-0.4099,0.2776,0,0.016302
1869.97,105.2,58.21,13.514,0.652,5.83,990.0,0.834,0.0,1.818,1.387,1.264,-0.0588,0.1098,0,0.000824
2083.47,114.15,53.81,13.957,1.131,17.1,8038.1,0.772,2.933,1.597,-0.766,-1.262,-0.249,0.2393,0,0.075858
2083.78,111.89,63.35,13.75,1.023,2.42,0.0,0.835,2.78,1.361,2.25,-0.349,-0.154,0.2668,0,0.006693
2016.93,119.9,61.95,13.785,1.144,27.84,6125.8,0.797,2.672,2.402,0.532,-2.933,-0.2688,0.4029,0,0.039166
1794.48,115.81,59.9,13.782,0.957,44.04,1025.2,0.85,0.863,0.435,0.487,-1.743,-0.2796,0.3163,0,0.006693
1912.5,123.17,63.54,13.283,0.889,34.21,1644.1,0.66,2.684,1.349,3.398,-3.719,-0.1415,0.1392,0,0.09975
1846.16,124.31,57.87,13.643,0.691,20.35,7179.8,0.505,3.0,0.763,1.853,0.938,-0.1161,0.0819,0,0.069138
1822.14,108.46,57.86,13.704,0.79,7.94,519.7,0.851,0.102,0.954,1.052,2.13,-0.0403,0.2545,0,0.000824
1492.45,109.1,59.74,13.782,0.5,41.62,576.6,0.438,1.207,2.297,-0.178,-2.313,-0.3248,0.1395,0,0.000824
2264.6,119.04,62.67,13.741,0.96,1.62,6102.2,0.662,4.664,1.954,3.871,-0.891,-0.234,0.3467,0,0.006693
1786.07,118.28,61.2,13.948,0.696,18.81,4742.6,0.643,3.054,1.82,-1.317,1.833,-0.1922,0.3377,0,0.006693
1789.06,106.81,63.86,13.574,0.736,7.19,1069.9,0.705,1.424,1.719,0.429,-3.013,-0.2001,0.2683,0,0.000824
2203.96,119.32,58.72,12.854,1.061,-7.58,8812.0,0.644,4.933,1.446,1.29,-0.853,-0.2427,0.3044,0,0.013387
2147.32,112.15,60.76,13.583,1.067,-7.67,1883.4,0.849,3.589,0.823,0.305,-2.053,0.0038,0.3618,0,0.006693
1879.85,101.56,61.61,12.825,1.117,-3.38,1573.2,0.877,2.216,3.005,-0.248,-0.948,-0.3956,0.1804,0,0.021881
1612.26,98.46,68.07,12.931,0.601,-10.15,1708.1,0.59,1.194,1.934,2.044,1.093,-0.3307,0.1056,0,0.000824
1948.18,114.46,63.77,13.575,0.828,5.15,5013.7,0.61,3.648,2.904,-1.561,-2.075,-0.1115,0.2011,0,0.012128
1595.02,103.02,64.55,12.69,0.683,-17.58,1643.9,0.636,1.038,3.9,3.033,1.105,-0.461,0.0403,0,0.003684
1980.13,118.51,63.08,13.836,0.985,36.88,1108.1,0.934,1.687,1.27,-0.188,-2.378,-0.3,0.2111,0,0.006693
1865.36,110.49,60.85,13.622,0.789,32.49,1164.4,0.84,0.957,1.95,-0.62,-0.424,-0.0894,0.3151,0,0.006693
1439.27,97.62,63.59,13.536,0.521,16.56,1647.7,0.52,0.0,2.719,-0.794,-2.789,-0.1973,0.0316,0,0.001501
1648.63,118.11,59.46,13.359,0.592,46.79,2520.8,0.606,0.861,1.975,-1.135,-2.525,-0.2587,0.0322,0,0.014774
1798.05,112.5,55.26,13.474,0.843,1.88,6740.6,0.716,2.385,1.609,0.566,-1.482,-0.2209,0.0196,0,0.013387
1662.36,115.77,64.23,13.442,0.365,48.2,1796.9,0.597,0.182,1.684,3.178,1.204,-0.3784,0.0734,0,0.035571
1796.67,103.87,61.59,13.438,0.729,2.74,1253.9,0.811,0.643,1.294,-0.504,-1.857,-0.3027,0.0972,0,0.000824
1810.36,104.63,64.84,13.009,0.709,-9.48,1377.8,0.789,1.406,2.91,-1.125,-2.19,-0.4227,0.147,0,0.003684
2004.93,116.58,62.17,13.555,0.936,7.92,8128.2,0.682,4.506,0.727,-0.444,-3.772,-0.1367,0.3459,0,0.039166
1742.3,116.61,62.14,13.846,0.693,41.14,0.0,0.742,1.62,1.928,1.818,-0.956,-0.2776,0.157,0,0.006693
1774.84,111.05,61.95,13.635,0.588,30.19,747.7,0.748,1.021,1.441,-0.379,1.488,-0.0361,-0.0281,0,0.006693
1681.54,108.94,65.52,13.688,0.429,32.82,2316.0,0.621,0.0,2.659,-0.112,-0.728,-0.3436,0.0795,0,0.000824
1726.78,114.2,57.66,13.866,0.741,26.14,1450.6,0.839,1.068,0.466,-1.689,-0.638,-0.0015,0.109,0,0.006693
2028.43,121.29,63.13,13.632,0.984,27.2,883.3,0.973,1.151,1.272,0.571,-0.388,-0.2572,0.0924,0,0.035571
1780.4,115.77,59.14,13.677,0.602,36.78,1485.5,0.795,0.346,0.687,-2.593,-0.304,-0.0931,0.0844,0,0.006693
2150.31,117.9,61.29,13.971,0.833,4.83,7000.8,0.652,4.476,0.64,0.959,-0.387,0.0354,0.3441,0,0.013387
1623.02,106.91,64.61,13.391,0.584,-0.07,140.0,0.598,1.1,2.615,-2.486,1.44,-0.2843,0.072,0,0.000824
1644.49,106.29,61.74,13.766,0.351,0.65,1350.6,0.599,0.856,1.552,-2.192,-2.276,-0.1597,0.0746,0,0.000824
2025.72,116.43,60.29,14.046,0.978,27.02,2514.0,0.819,2.204,1.224,3.174,-1.866,-0.2377,0.1218,0,0.006693
1708.32,102.85,57.69,12.735,0.591,-15.55,1375.4,0.534,2.151,2.002,-4.455,-0.403,-0.3173,-0.0649,0,0.000824
1819.22,108.82,66.24,13.554,0.615,10.89,154.5,0.691,1.202,2.431,-2.994,-0.578,-0.2427,0.1578,0,0.000824
1719.39,108.38,63.61,13.357,0.527,5.55,0.0,0.619,0.412,2.814,-1.531,2.66,-0.2865,-0.0707,0,0.001501
1694.19,116.04,61.86,13.341,0.704,22.69,5375.9,0.511,3.043,2.174,-2.266,-2.969,0.0665,0.0479,0,0.006693
1856.83,105.04,63.39,13.809,0.677,2.98,2113.4,0.729,0.75,3.34,0.04,0.549,-0.4232,-0.0333,0,0.003684
1760.93,111.0,62.81,13.626,0.507,29.94,1299.3,0.604,1.694,1.174,2.119,-0.143,-0.0369,0.1123,0,0.006693
1889.09,120.35,62.68,13.632,0.605,45.43,681.4,0.695,1.516,1.732,0.668,-3.425,-0.1527,-0.0789,0,0.035571
1875.57,116.31,63.24,14.038,0.813,26.57,2022.4,0.812,0.0,1.773,1.289,4.809,-0.2822,0.1089,0,0.006693
1839.45,107.26,65.25,13.159,0.896,-6.48,1077.4,0.77,1.625,3.236,-0.541,-0.738,-0.5258,0.2212,0,0.003684
1972.28,112.89,62.82,13.575,0.675,8.97,0.0,0.749,1.703,1.583,1.751,0.382,-0.1895,0.1408,0,0.006693
1617.59,113.89,63.33,13.868,0.356,31.31,2758.2,0.554,0.155,1.64,1.712,0.491,-0.3469,-0.075,0,0.006693
1966.15,117.7,62.78,13.479,0.956,7.21,2380.2,0.878,2.368,0.494,0.597,1.345,-0.0634,0.2449,0,0.006693
1699.81,112.14,63.31,14.124,0.48,6.78,831.3,0.25,3.369,0.0,-0.555,-1.109,0.0523,0.1966,0,0.006693
1811.09,106.62,58.83,13.236,0.829,17.31,1467.6,0.743,1.492,3.004,-3.569,-0.682,-0.3858,0.0945,0,0.003684
1881.66,108.06,58.1,13.253,1.131,9.75,6524.6,0.816,2.674,2.782,1.583,-1.682,-0.2694,0.1049,0,0.017986
1738.2,107.34,61.66,13.575,0.563,12.38,1583.5,0.681,0.53,2.026,-2.04,-0.491,-0.0744,0.1866,0,0.000824
1844.59,116.81,59.76,14.16,0.813,33.52,2235.4,0.828,0.535,1.213,-1.148,-0.611,-0.1451,0.0568,0,0.006693
1976.45,111.94,58.86,13.632,1.163,15.69,651.4,0.912,2.582,1.965,-0.802,-2.949,-0.3538,0.2277,0,0.091123
1753.52,99.54,61.98,12.907,0.744,-7.6,948.6,0.711,0.275,4.062,2.401,-0.57,-0.3125,0.2447,0,0.001501
1824.39,123.13,64.29,13.917,1.199,34.34,534.6,0.931,1.925,1.266,0.486,0.529,-0.1033,0.2987,0,0.182426
1819.4,113.61,62.78,13.582,0.941,33.78,2049.5,0.875,0.46,2.186,-0.389,-2.063,-0.1077,0.1972,0,0.006693
1599.69,110.16,64.06,13.012,0.49,-5.77,1671.9,0.516,0.626,2.335,-0.888,2.658,-0.1835,0.2914,0,0.006693
1728.08,118.94,59.97,13.476,0.806,19.17,2131.1,0.684,2.889,1.408,0.203,-1.695,-0.1792,0.105,0,0.006693
1695.94,101.84,57.1,12.594,0.526,-16.61,2714.4,0.508,2.121,2.646,-0.004,-1.505,-0.2437,0.2352,0,0.000824
1716.18,125.65,53.94,13.771,0.802,47.44,1875.8,0.838,0.993,2.396,0.814,0.368,-0.2879,0.0139,0,0.075858
2013.18,107.58,65.5,13.792,1.032,6.38,3085.2,0.89,0.895,1.235,-0.313,-0.902,-0.1158,0.1477,0,0.000824
1888.87,113.61,57.29,13.68,0.9,31.18,714.1,0.891,0.134,1.493,-0.649,0.18,-0.3301,0.1736,0,0.006693
1776.67,116.83,63.79,13.33,0.622,32.88,1792.0,0.631,1.218,3.076,2.055,-0.24,-0.3815,-0.0613,0,0.029312
2189.93,123.79,59.31,13.443,0.942,9.21,6333.2,0.684,4.45,1.984,-0.119,-4.479,-0.2888,0.4011,0,0.182426
1742.39,114.22,60.38,14.048,1.016,37.59,2258.3,0.929,0.68,0.859,1.703,1.02,0.034,0.1405,0,0.006693
1665.43,115.31,59.65,13.776,0.795,35.86,782.9,0.749,0.794,2.052,-2.175,1.303,-0.2953,0.1765,0,0.006693
